City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Atuona,-9.8,-139.0333,78.82,79,55,20.04,PF,1652334241
Arrondissement de Libourne,44.9167,-0.25,59.5,95,98,2.59,FR,1652334242
Mumford,5.2618,-0.759,80.11,85,98,5.84,GH,1652334243
Namatanai,-3.6667,152.4333,83.79,72,75,10.63,PG,1652334243
Leningradskiy,69.3833,178.4167,30.24,97,100,9.84,RU,1652334244
Albany,42.6001,-73.9662,53.46,69,8,2.33,US,1652334306
Winnemucca,40.973,-117.7357,41.05,42,0,0,US,1652334245
Toamasina,-18.1667,49.3833,75.2,78,20,11.5,MG,1652334246
Salalah,17.0151,54.0924,98.69,8,69,3.44,OM,1652334246
Kavaratti,10.5669,72.642,84.9,66,91,13.67,IN,1652334247
Bilibino,68.0546,166.4372,28.08,89,99,11.32,RU,1652334247
Nicholasville,37.8806,-84.573,63.7,68,18,6.89,US,1652334248
Tasiilaq,65.6145,-37.6368,21.36,86,90,5.93,GL,1652334249
Ajdabiya,30.7554,20.2263,70.45,44,100,11.61,LY,1652334249
Porto Walter,-8.2686,-72.7439,71.37,99,45,1.54,BR,1652334250
Nanortalik,60.1432,-45.2371,32.25,88,100,10.85,GL,1652334250
Butaritari,3.0707,172.7902,80.91,79,60,9.53,KI,1652334213
Flinders,-34.5833,150.8552,67.17,93,100,5.99,AU,1652334252
Tlaltenango,19.1667,-98.3333,57.07,64,10,9.28,MX,1652334252
Naberera,-4.2,36.9333,65.26,69,55,10.2,TZ,1652334253
Port Hardy,50.6996,-127.4199,44.6,87,100,5.75,CA,1652334254
Arraial do Cabo,-22.9661,-42.0278,66.16,94,0,0,BR,1652334254
George Town,5.4112,100.3354,91.35,63,20,7,MY,1652334080
Tadine,-21.55,167.8833,74.26,64,100,20.98,NC,1652334321
São Filipe,14.8961,-24.4956,72.1,82,38,6.67,CV,1652334322
Barrow,71.2906,-156.7887,30.22,93,100,12.66,US,1652334322
Road Town,18.4167,-64.6167,80.69,82,100,21.85,VG,1652334186
Paraíso,9.8383,-83.8656,65.41,95,69,1.61,CR,1652334323
Mount Gambier,-37.8333,140.7667,60.42,84,100,3.4,AU,1652334324
Kapaa,22.0752,-159.319,78.78,84,75,19.57,US,1652334304
Presidente Franco,-25.5333,-54.6167,54.12,100,0,1.14,PY,1652334325
Cayenne,4.9333,-52.3333,82.09,1,75,10,GF,1652334326
Kavieng,-2.5744,150.7967,82.31,79,97,10.22,PG,1652334326
Tuktoyaktuk,69.4541,-133.0374,37.4,75,75,10.36,CA,1652334034
Punta Arenas,-53.15,-70.9167,37.51,93,0,4.61,CL,1652334130
Kulhudhuffushi,6.6221,73.07,83.79,77,55,16.28,MV,1652334327
Selu,19.4667,76.4667,102.51,22,65,7.78,IN,1652334328
Kruisfontein,-34.0033,24.7314,53.91,81,0,3.11,ZA,1652334329
Moroni,-11.7022,43.2551,82.4,61,20,3.44,KM,1652334139
Asău,46.4333,26.4,68.95,44,45,4.9,RO,1652334329
West Bay,19.3667,-81.4167,80.01,70,1,1.01,KY,1652334330
Cape Town,-33.9258,18.4232,53.89,92,75,4.61,ZA,1652334326
Shenjiamen,29.9576,122.298,64.13,97,100,5.48,CN,1652334331
Iqaluit,63.7506,-68.5145,19.13,86,75,27.63,CA,1652334331
Port Elizabeth,-33.918,25.5701,54.32,90,0,3.44,ZA,1652334179
Tutóia,-2.7619,-42.2744,76.32,86,77,7.07,BR,1652334332
Castro,-24.7911,-50.0119,48.7,95,1,2.84,BR,1652334332
Tiksi,71.6872,128.8694,30.25,83,79,17.67,RU,1652334333
Vaini,-21.2,-175.2,73.56,73,75,11.5,TO,1652334113
Ust-Tsilma,65.441,52.1498,53.28,80,100,7.81,RU,1652334334
Mēga,4.05,38.3,60.42,85,90,11.1,ET,1652334334
Fare,-16.7,-151.0167,81.32,78,18,16.58,PF,1652334335
Hithadhoo,-0.6,73.0833,82.69,78,100,12.33,MV,1652334335
Hofn,64.2539,-15.2082,36.34,98,100,17.07,IS,1652334336
Marsh Harbour,26.5412,-77.0636,72.81,70,5,6.4,BS,1652334337
Kieta,-6.2167,155.6333,83.79,69,75,4.72,PG,1652334208
Roald,62.5833,6.1333,48.76,87,75,19.57,NO,1652334337
Port Alfred,-33.5906,26.891,61.65,75,0,4.38,ZA,1652334338
Cidreira,-30.1811,-50.2056,58.53,86,7,10.33,BR,1652334338
Carnarvon,-24.8667,113.6333,82.47,57,100,32.21,AU,1652334339
El Higo,21.7667,-98.4667,75.69,91,3,4.56,MX,1652334339
Quatre Cocos,-20.2078,57.7625,80.1,70,24,4.9,MU,1652334340
Kudahuvadhoo,2.6708,72.8944,83.16,79,76,17.43,MV,1652334340
Rio Branco,-9.9747,-67.81,75.81,88,75,2.3,BR,1652334341
Airai,-8.9266,125.4092,72.05,69,79,1.83,TL,1652334341
Pokrovskoye,47.4157,38.8971,59.54,50,59,11.52,RU,1652334342
Narsaq,60.9167,-46.05,41.22,86,100,11.97,GL,1652334343
Cherskiy,68.75,161.3,28.9,77,68,8.23,RU,1652334343
Capão da Canoa,-29.7456,-50.0097,59.07,85,18,10.11,BR,1652334344
Margate,51.3813,1.3862,50.7,86,27,1.01,GB,1652334344
Mindelo,16.8901,-24.9804,71.15,78,40,16.11,CV,1652334345
Northam,51.0333,-4.2167,51.66,95,11,5.82,GB,1652334345
Alexandria,31.2156,29.9553,64.36,77,40,5.75,EG,1652334096
Portland,45.5234,-122.6762,51.84,70,100,8.01,US,1652334242
Lata,40.1629,-8.3327,56.55,70,100,1.9,PT,1652334346
Sulangan,11.1373,123.7228,85.1,68,78,3.71,PH,1652334347
Avera,33.194,-82.5271,60.39,58,0,7.23,US,1652334347
Aitape,-3.1374,142.3475,85.42,70,95,7.16,PG,1652334348
Gamba,-2.65,10,76.68,90,100,4.54,GA,1652334349
Bluff,-46.6,168.3333,55.8,74,100,20,NZ,1652334349
Aginskoye,51.1,114.53,45.01,61,99,18.68,RU,1652334350
Saldanha,-33.0117,17.9442,48.25,82,0,2.35,ZA,1652334350
Rocha,-34.4833,-54.3333,54.12,71,100,5.77,UY,1652334087
Longyearbyen,78.2186,15.6401,21.04,63,0,13.8,SJ,1652334351
Bethel,41.3712,-73.414,61.11,79,0,0,US,1652334351
Rāmgarh,23.6333,85.5167,89.65,33,6,3.62,IN,1652334352
New Norfolk,-42.7826,147.0587,59.92,82,100,1.3,AU,1652334352
Saint Paul Harbor,57.79,-152.4072,47.71,66,100,6.91,US,1652334353
Belaya Gora,68.5333,146.4167,33.42,85,79,9.75,RU,1652334354
Novaya Igirma,57.1334,103.9112,62.49,29,56,8.03,RU,1652334354
Agadez,19.75,10.25,78.31,19,0,14.43,NE,1652334355
Bitung,1.4451,125.1824,88.65,75,89,4.27,ID,1652334355
Miguel Calmon,-11.4289,-40.595,63.23,99,50,1.61,BR,1652334356
Kjøllefjord,70.9457,27.3465,35.65,99,100,5.77,NO,1652334356
Ashgabat,37.95,58.3833,73.26,53,75,6.91,TM,1652334264
Norman Wells,65.282,-126.8329,48.24,40,75,4.61,CA,1652334131
Macrohon,10.0797,124.9431,85.78,72,98,10.38,PH,1652334357
Lavrentiya,65.5833,-171,33.1,94,97,7.31,RU,1652334358
Cabo San Lucas,22.8909,-109.9124,78.51,66,59,5.7,MX,1652334358
Tiarei,-17.5333,-149.3333,80.62,79,41,18.3,PF,1652334359
Lompoc,34.6391,-120.4579,50.02,80,0,21,US,1652334277
Kaitangata,-46.2817,169.8464,51.89,80,95,5.95,NZ,1652334359
Lubango,-14.9172,13.4925,57.81,51,1,2.26,AO,1652334360
Ak-Dovurak,51.1833,90.6,58.05,16,1,2.51,RU,1652334361
Tona,41.8464,2.2251,57.99,79,45,0.96,ES,1652334361
Uetze,52.4651,10.2047,57.06,73,20,10.36,DE,1652334362
Abaza,52.655,90.0928,67.03,18,0,5.68,RU,1652334362
Souillac,-20.5167,57.5167,79.18,78,40,6.91,MU,1652334363
Gizo Government Station,-8.103,156.8419,84.99,66,96,3.8,SB,1652334364
Vao,-22.6667,167.4833,73.58,67,100,29.19,NC,1652334364
Jamestown,42.097,-79.2353,54.01,73,0,4.81,US,1652334365
Cap Malheureux,-19.9842,57.6142,80.47,76,8,1.99,MU,1652334365
Hong Kong,22.2855,114.1577,80.65,93,100,14,HK,1652334108
Collie,-33.3667,116.15,49.37,97,100,2.84,AU,1652334366
Magán,39.9683,-3.931,64.92,47,95,8.43,ES,1652334367
Afogados da Ingazeira,-7.7508,-37.6392,65.61,95,67,2.59,BR,1652334236
Poltavka,54.3663,71.7632,64.47,39,76,7.52,RU,1652334368
Narasannapeta,18.4167,84.05,88.56,63,82,11.45,IN,1652334370
Severo-Kuril'sk,50.6789,156.125,41.04,82,57,5.37,RU,1652334370
Liberal,37.0431,-100.921,77.14,65,0,25.32,US,1652334371
Coyhaique,-45.5752,-72.0662,40.95,93,100,0,CL,1652334112
Pevek,69.7008,170.3133,28.47,85,100,10.85,RU,1652334372
Aurangabad,19.8833,75.3333,84.29,61,75,5.75,IN,1652334372
Houma,29.5958,-90.7195,73.99,88,0,0,US,1652334268
Viedma,-40.8135,-62.9967,51.21,77,99,10.76,AR,1652334373
Clyde River,70.4692,-68.5914,17.83,93,100,21.85,CA,1652334373
Bagdarin,54.4333,113.6,52.38,32,100,15.55,RU,1652334374
Porto Nacional,-10.7081,-48.4172,71.6,69,7,1.68,BR,1652334375
San Patricio,28.017,-97.5169,80.49,90,30,8.14,US,1652334375
Krasnopavlivka,49.1372,36.3272,58.77,56,79,12.48,UA,1652334376
Tautira,-17.7333,-149.15,81.05,80,71,18.39,PF,1652334377
Valdivia,-39.8142,-73.2459,50.09,97,100,1.86,CL,1652334154
Tuatapere,-46.1333,167.6833,52.41,81,100,4.54,NZ,1652334378
Pahrump,36.2083,-115.9839,56.25,20,3,4,US,1652334378
Alofi,-19.0595,-169.9187,78.69,89,43,3.44,NU,1652334379
Hajdúhadház,47.6833,21.6667,62.1,70,54,11.72,HU,1652334379
Kill,52.1761,-7.335,48.72,86,73,5.59,IE,1652334380
Arona,28.0996,-16.681,60.82,85,75,0,ES,1652334381
Darnah,32.767,22.6367,64.72,60,100,1.12,LY,1652334381
Mpulungu,-8.7623,31.1141,73.87,65,70,6.04,ZM,1652334382
Muzhi,65.3667,64.6667,38.7,99,100,2.55,RU,1652334382
Ahipara,-35.1667,173.1667,56.19,75,0,7.27,NZ,1652334383
Bara,10.3744,10.7288,80.94,62,86,13.65,NG,1652334384
‘Āhuimanu,21.4447,-157.8378,78.51,75,75,18.41,US,1652334385
Lagoa,39.05,-27.9833,58.03,75,88,8.86,PT,1652334386
Matara,5.9485,80.5353,83.95,77,85,13.82,LK,1652334386
Westport,41.1415,-73.3579,60.62,87,2,7.27,US,1652334306
Empalme,27.9667,-110.8167,78.93,29,27,6.85,MX,1652334387
Kousséri,12.0769,15.0306,82.36,51,0,3.44,CM,1652334388
Provideniya,64.3833,-173.3,35.71,80,0,15.99,RU,1652334388
Ilhabela,-23.7781,-45.3581,69.87,91,79,8.14,BR,1652334120
Talnakh,69.4865,88.3972,31.21,100,100,5.84,RU,1652334389
Beliu,46.4833,21.9833,64,70,61,7.54,RO,1652334390
Kralendijk,12.15,-68.2667,80.58,83,100,12.66,BQ,1652334390
Lorengau,-2.0226,147.2712,84.9,67,10,7.47,PG,1652334391
Mahébourg,-20.4081,57.7,79.25,78,40,6.91,MU,1652334203
Puerto Baquerizo Moreno,-0.9,-89.6,71.37,88,17,9.08,EC,1652334392
Mar del Plata,-38.0023,-57.5575,53.87,72,85,5.99,AR,1652334462
Pokhara,28.2333,83.9833,80.42,66,27,2.77,NP,1652334463
Smithers,54.7804,-127.1743,39.52,81,40,6.91,CA,1652334463
Tromsø,69.6496,18.957,39.38,87,75,6.91,NO,1652334464
Balatonfüred,46.9619,17.8719,62.35,71,15,7,HU,1652334465
Barcelona,41.3888,2.159,65.32,72,0,10.36,ES,1652334462
Rochegda,62.8,43.25,59.32,41,80,7.05,RU,1652334466
Yangi Marg`ilon,40.4272,71.7189,72.32,56,2,2.3,UZ,1652334466
Slonim,53.0867,25.3219,60.35,92,96,7.61,BY,1652334467
Christchurch,-43.5333,172.6333,54.95,72,30,3.44,NZ,1652334467
Waipawa,-41.4122,175.5153,44.94,87,5,1.54,NZ,1652334468
Saint-Pierre,-21.3393,55.4781,81.91,73,75,5.75,RE,1652334468
Aklavik,68.2191,-135.0107,35.85,85,38,7.78,CA,1652334469
Kutum,14.2,24.6667,84.81,10,100,15.43,SD,1652334469
Mossamedes,-15.1961,12.1522,72.97,62,0,4.79,AO,1652334470
Puerto Limón,10,-83.0333,78.13,85,15,5.61,CR,1652334471
Dingle,10.9995,122.6711,91.44,54,83,9.95,PH,1652334472
Nelson Bay,-32.7167,152.15,70,94,100,1.99,AU,1652334472
Orlik,52.5178,99.825,47.62,21,0,3.18,RU,1652334473
Beringovskiy,63.05,179.3167,39.09,79,50,7.07,RU,1652334473
Kempsey,-31.0833,152.8333,67.95,92,100,4,AU,1652334404
Yabēlo,4.8833,38.0833,65.01,70,22,8.7,ET,1652334474
Chany,55.3121,76.7647,68.72,20,78,5.48,RU,1652334475
Ostrovnoy,68.0531,39.5131,43,90,70,18.5,RU,1652334475
Vostok,46.4856,135.8833,55.56,33,78,10.69,RU,1652334476
Torbay,47.6666,-52.7314,49.39,91,100,20.71,CA,1652334477
Kajaani,64.2273,27.7285,50.05,76,0,5.75,FI,1652334307
Saint Andrews,34.0454,-81.1293,65.98,57,0,6.91,US,1652334477
Taoudenni,22.6783,-3.9836,83.44,15,52,16.91,ML,1652334478
Benito Juarez,19.385,-99.165,64,55,5,8.01,MX,1652334479
Ponta do Sol,32.6667,-17.1,66.83,80,26,3.89,PT,1652334479
Nikolskoye,59.7035,30.7861,55.87,69,100,7.02,RU,1652334480
Maragogi,-9.0122,-35.2225,75,87,22,2.28,BR,1652334480
Concordia,-31.393,-58.0209,49.95,93,0,0,AR,1652334481
Kropotkin,45.4375,40.5756,56.75,66,14,11.03,RU,1652334481
Rājūra,19.7833,79.3667,97.23,40,79,7.4,IN,1652334482
Panalingaan,8.7842,117.4231,87.26,69,46,3.53,PH,1652334483
Pitimbu,-7.4706,-34.8086,75.79,85,91,5.64,BR,1652334483
Vanimo,-2.6741,141.3028,84.85,71,92,7.23,PG,1652334484
Yar-Sale,66.8333,70.8333,35.26,100,100,5.37,RU,1652334484
Sompeta,18.9333,84.6,88.54,66,48,12.91,IN,1652334485
Aykhal,66,111.5,36.99,100,100,20.04,RU,1652334486
Yumen,40.2833,97.2,65.14,17,67,18.77,CN,1652334486
Sayyan,15.1718,44.3244,69.75,20,4,15.7,YE,1652334487
Qaqortoq,60.7167,-46.0333,31.53,89,100,12.97,GL,1652334259
Chivay,-15.6383,-71.6011,43.25,60,0,0.72,PE,1652334488
Kahului,20.8947,-156.47,78.82,65,40,14.97,US,1652334488
Plettenberg Bay,-34.0527,23.3716,55.98,79,0,2.84,ZA,1652334489
Mogwase,-25.185,27.2665,61.38,40,82,1.61,ZA,1652334490
Noormarkku,61.5927,21.8685,46.18,93,100,8.05,FI,1652334490
Sitka,57.0531,-135.33,48.09,57,0,6.91,US,1652334491
Tabuk,17.4189,121.4443,93.09,43,22,5.14,PH,1652334481
Constitución,-35.3333,-72.4167,56.66,59,100,3.8,CL,1652334492
Qasigiannguit,68.8193,-51.1922,21.45,77,18,6.69,GL,1652334492
Kasongo,-4.45,26.6667,70.63,89,100,2.98,CD,1652334493
Wenceslau Braz,-23.8739,-49.8028,52.36,91,31,3.94,BR,1652334493
Hasaki,35.7333,140.8333,72.28,77,100,12.12,JP,1652334494
Acoua,-12.7239,45.0582,84.11,62,3,10.94,YT,1652334495
Adrar,20.5022,-10.0711,81.21,22,38,8.5,MR,1652334495
Saint George,37.1041,-113.5841,55.99,22,0,8.05,US,1652334496
Bemidji,47.4736,-94.8803,58.05,95,75,14.97,US,1652334496
Tūkrah,32.5341,20.5791,64.89,60,95,8.75,LY,1652334497
Khatanga,71.9667,102.5,26.11,83,71,16.26,RU,1652334498
College,64.8569,-147.8028,48.18,47,75,4.61,US,1652334498
Reyes,-14.3167,-67.3833,68.76,99,100,2.73,BO,1652334499
Panguna,-6.3164,155.4848,77.86,66,78,2.17,PG,1652334499
Lüderitz,-26.6481,15.1594,55.74,76,5,10.94,NA,1652334500
Thompson,55.7435,-97.8558,35.76,80,0,3.44,CA,1652334500
Avarua,-21.2078,-159.775,77.05,88,75,4.61,CK,1652334501
Abu Dhabi,24.4667,54.3667,91.51,48,0,6.91,AE,1652334337
General Roca,-39.0333,-67.5833,48.83,76,92,6.04,AR,1652334502
Diego de Almagro,-26.3667,-70.05,58.6,43,0,1.3,CL,1652334503
Sangar,63.9242,127.4739,38.41,93,100,10.78,RU,1652334503
Kamenka,51.3223,42.7678,47.23,89,100,10.96,RU,1652334504
Prince Rupert,54.3161,-130.3201,47.89,85,100,5.75,CA,1652334308
Camacha,33.0833,-16.3333,62.02,88,40,13.8,PT,1652334505
Andenes,69.3143,16.1194,40.98,93,75,11.5,NO,1652334505
Pacific Grove,36.6177,-121.9166,52.43,83,0,5.99,US,1652334506
Honningsvåg,70.9821,25.9704,35.35,93,100,16.11,NO,1652334506
Sept-Îles,50.2001,-66.3821,32.43,93,0,3.44,CA,1652334507
Biak,-0.9131,122.8766,82.42,80,91,3.04,ID,1652334507
Ambon City,-3.6954,128.1814,87.94,70,40,6.91,ID,1652334508
Chunskiy,56.0815,99.6342,65.8,25,9,1.34,RU,1652334508
Itarema,-2.9248,-39.9167,76.55,89,92,6.91,BR,1652334279
Touros,-5.1989,-35.4608,72.16,95,100,8.97,BR,1652334509
Katsuura,35.1333,140.3,69.44,77,100,10.67,JP,1652334457
Henties Bay,-22.116,14.2845,59.41,80,0,7.58,NA,1652334510
Pisco,-13.7,-76.2167,60.03,94,0,3.44,PE,1652334511
Dunedin,-45.8742,170.5036,56.8,59,67,1.99,NZ,1652334233
Washington,47.5001,-120.5015,52.2,66,100,5.1,US,1652334374
Loveland,40.3978,-105.075,64.78,64,0,19.57,US,1652334512
Liepāja,56.5419,21.0367,48.18,93,100,12.66,LV,1652334512
Leshukonskoye,64.8989,45.7622,52.54,81,100,6.4,RU,1652334513
Mwanza,-2.5167,32.9,69.85,83,20,0,TZ,1652334513
Geilo,60.5333,8.2076,40.46,78,31,10.98,NO,1652334514
Shellbrook,53.2168,-106.4011,43.83,57,29,2.71,CA,1652334514
Shimoda,34.6667,138.95,68.36,79,100,5.64,JP,1652334515
North Bend,43.4065,-124.2243,50.16,92,100,5.75,US,1652334515
San Roque,36.2107,-5.3842,63.43,72,0,11.5,ES,1652334516
Alpena,45.0617,-83.4327,53.92,79,0,1.01,US,1652334388
Faanui,-16.4833,-151.75,81.45,78,32,16.06,PF,1652334517
Rio Grande,-32.035,-52.0986,53.94,81,83,12.75,BR,1652334518
Amga,60.8953,131.9608,50.31,44,71,6.96,RU,1652334518
Vestmannaeyjar,63.4427,-20.2734,37.11,81,99,2.64,IS,1652334519
Harper,4.375,-7.7169,79.18,85,87,3.65,LR,1652334519
Moose Jaw,50.4001,-105.5344,39.45,81,28,3.44,CA,1652334288
Rio Verde de Mato Grosso,-18.9181,-54.8442,67.62,90,100,3.74,BR,1652334520
Sampit,-2.5333,112.95,93.38,50,49,3.42,ID,1652334521
Ayan,56.45,138.1667,33.75,90,100,24.16,RU,1652334521
Necochea,-38.5473,-58.7368,46.78,80,98,5.66,AR,1652334362
Geraldton,-28.7667,114.6,64.81,94,75,10.36,AU,1652334522
Manokwari,-0.8667,134.0833,83.03,72,97,4.79,ID,1652334523
Tabou,4.423,-7.3528,78.19,87,86,1.07,CI,1652334523
Gurupá,-1.405,-51.64,72.09,99,41,2.71,BR,1652334524
Kupino,54.3663,77.2981,69.55,19,74,2.8,RU,1652334524
Pangkalanbuun,-2.6833,111.6167,86.05,77,62,4,ID,1652334525
Saquena,-4.6667,-73.5167,72.68,99,66,1.72,PE,1652334526
Imbituba,-28.24,-48.6703,63.86,95,33,9.22,BR,1652334526
Talara,-4.5772,-81.2719,67.96,78,82,14,PE,1652334527
Savinka,50.0785,47.0994,47.43,78,98,14.79,RU,1652334527
Jinhua,29.1078,119.6547,66,92,100,3.33,CN,1652334528
Shunyi,40.125,116.6453,67.95,32,0,4.47,CN,1652334528
Maïné Soroa,13.2114,12.0241,86.86,47,32,16.35,NE,1652334529
Zomba,-15.386,35.3188,66.52,74,0,1.57,MW,1652334530
Altay,47.8667,88.1167,63.23,25,92,9.42,CN,1652334530
Santokhgarh,31.3667,76.3167,104.74,18,0,10.33,IN,1652334531
Port Blair,11.6667,92.75,78.84,89,100,3.44,IN,1652334531
Saint Anthony,45.0205,-93.218,66.49,94,40,8.05,US,1652334532
Pringsewu,-5.3582,104.9744,87.84,65,100,2.13,ID,1652334532
Nazilli,37.9163,28.3223,54.7,53,0,4,TR,1652334533
Tazovsky,67.4667,78.7,33.91,99,88,7.4,RU,1652334534
Porto Belo,-27.1578,-48.5531,62.26,89,18,3.74,BR,1652334534
Russell,32.3502,-85.1999,71.2,88,20,0,US,1652334535
San Rafael,-34.6177,-68.3301,48.79,66,0,9.22,AR,1652334535
Cherbourg-en-Cotentin,49.6386,-1.6147,49.71,100,0,5.75,FR,1652334313
Tsiroanomandidy,-18.7667,46.0333,69.03,63,0,4.05,MG,1652334536
Opuwo,-18.0607,13.84,61.57,33,0,5.08,NA,1652334537
Witu,-2.3889,40.4382,82.56,67,39,15.5,KE,1652334537
Aswān,24.0934,32.907,88.92,15,3,15.66,EG,1652334538
Coquimbo,-29.9533,-71.3436,56.93,88,100,1.14,CL,1652334447
Chui,-33.6971,-53.4616,51.31,84,52,7.38,UY,1652334539
Yerbogachën,61.2767,108.0108,58.89,47,88,12.97,RU,1652334539
Poopó,-18.3667,-66.9667,36.66,67,0,3.51,BO,1652334540
Kerman,30.2832,57.0788,76.86,12,0,6.91,IR,1652334327
Canyon,34.9803,-101.9188,79.68,56,5,27.04,US,1652334540
Tura,25.5198,90.2201,81.81,74,65,6.93,IN,1652334541
Ierapetra,35.01,25.7353,65.14,55,34,1.99,GR,1652334542
Calderitas,18.55,-88.25,77.07,85,49,7.85,MX,1652334542
Hohhot,40.8106,111.6522,59.29,10,0,17.9,CN,1652334543
Ust-Nera,64.5667,143.2,34.66,77,17,7.4,RU,1652334544
Tombouctou,20,-3,80.65,11,1,11.07,ML,1652334545
Kiryat Gat,31.61,34.7642,69.4,100,0,2.77,IL,1652334546
Løpsmarka,67.3134,14.4493,45.81,79,75,11.5,NO,1652334546
Bodden Town,19.2833,-81.25,79.93,71,1,1.01,KY,1652334547
Santa Isabel Rio Negro,-0.4139,-65.0192,72.43,99,97,2.46,BR,1652334547
Piaçabuçu,-10.4056,-36.4344,75.42,82,9,4,BR,1652334548
Dzhebariki-Khaya,62.2167,135.8,36.91,91,33,5.64,RU,1652334548
Porto Franco,-6.3383,-47.3992,74.34,87,99,3.06,BR,1652334549
Acapulco de Juárez,16.8634,-99.8901,81.48,72,83,3.78,MX,1652334550
Menongue,-14.6585,17.691,56.1,56,1,3.24,AO,1652334550
Donskoye,45.4552,41.9741,59.13,64,43,14.56,RU,1652334551
Zheleznodorozhnyy,55.7503,38.0042,57.22,58,100,8.99,RU,1652334452
Atar,20.5169,-13.0499,82.67,27,14,9.53,MR,1652334552
Cururupu,-1.8283,-44.8683,72.73,99,87,2.37,BR,1652334300
Sistranda,63.7256,8.834,44.56,87,100,23.85,NO,1652334553
Mahalapye,-23.1041,26.8142,64.35,47,23,2.62,BW,1652334553
Chernyshevskiy,63.0128,112.4714,42.76,93,99,9.35,RU,1652334554
Wad Medani,14.4012,33.5199,94.1,12,5,14.52,SD,1652334554
Leer,8.3018,30.1418,81.46,62,100,9.57,SS,1652334555
Laguna,38.421,-121.4238,58.75,64,0,10.36,US,1652334556
Ilulissat,69.2167,-51.1,21.22,58,6,20.71,GL,1652334256
Vacha,55.8008,42.7706,38.86,97,100,8.21,RU,1652334557
Atherton,53.5237,-2.4935,50.9,87,29,1.99,GB,1652334557
Sorong,-0.8833,131.25,85.1,72,100,7.49,ID,1652334558
Porbandar,21.6422,69.6093,89.58,66,27,13.8,IN,1652334559
Coachella,33.6803,-116.1739,68.23,25,0,11.99,US,1652334176
Znamenskoye,57.1281,73.8282,66.15,40,79,6.38,RU,1652334560
Tuy Hoa,13.0833,109.3,91.33,61,34,12.73,VN,1652334560
Caravelas,-17.7125,-39.2481,69.76,92,42,6.49,BR,1652334561
Shaunavon,49.6501,-108.4181,44.38,73,31,7.29,CA,1652334562
Nikitinskiy,54.5845,86.0115,68.65,15,58,7.63,RU,1652334563
Bāgli,22.65,76.35,107.87,10,8,8.99,IN,1652334564
Saint-François,46.4154,3.9054,56.64,88,0,2.3,FR,1652334564
San Andrés,12.5847,-81.7006,78.82,94,75,6.91,CO,1652334565
Pueblo,38.2545,-104.6091,72.41,14,0,4.61,US,1652334363
